state,fbi_state,fbi_county,fstate,fips_county,name
AL,1,1,1,1,Autauga
AL,1,2,1,3,Baldwin
AL,1,3,1,5,Barbour
AL,1,4,1,7,Bibb
AL,1,5,1,9,Blount
AL,1,6,1,11,Bullock
AL,1,7,1,13,Butler
AL,1,8,1,15,Calhoun
AL,1,9,1,17,Chambers
AL,1,10,1,19,Cherokee
AL,1,11,1,21,Chilton
AL,1,12,1,23,Choctaw
AL,1,13,1,25,Clarke
AL,1,14,1,27,Clay
AL,1,15,1,29,Cleburne
AL,1,16,1,31,Coffee
AL,1,17,1,33,Colbert
AL,1,18,1,35,Conecuh
AL,1,19,1,37,Coosa
AL,1,20,1,39,Covington
AL,1,21,1,41,Crenshaw
AL,1,22,1,43,Cullman
AL,1,23,1,45,Dale
AL,1,24,1,47,Dallas
AL,1,25,1,49,De Kalb
AL,1,26,1,51,Elmore
AL,1,27,1,53,Escambia
AL,1,28,1,55,Etowah
AL,1,29,1,57,Fayette
AL,1,30,1,59,Franklin
AL,1,31,1,61,Geneva
AL,1,32,1,63,Greene
AL,1,33,1,65,Hale
AL,1,34,1,67,Henry
AL,1,35,1,69,Houston
AL,1,36,1,71,Jackson
AL,1,37,1,73,Jefferson
AL,1,38,1,75,Lamar
AL,1,39,1,77,Lauderdale
AL,1,40,1,79,Lawrence
AL,1,41,1,81,Lee
AL,1,42,1,83,Limestone
AL,1,43,1,85,Lowndes
AL,1,44,1,87,Macon
AL,1,45,1,89,Madison
AL,1,46,1,91,Marengo
AL,1,47,1,93,Marion
AL,1,48,1,95,Marshall
AL,1,49,1,97,Mobile
AL,1,50,1,99,Monroe
AL,1,51,1,101,Montgomery
AL,1,52,1,103,Morgan
AL,1,53,1,105,Perry
AL,1,54,1,107,Pickens
AL,1,55,1,109,Pike
AL,1,56,1,111,Randolph
AL,1,57,1,113,Russell
AL,1,58,1,115,St Clair
AL,1,59,1,117,Shelby
AL,1,60,1,119,Sumter
AL,1,61,1,121,Talladega
AL,1,62,1,123,Tallapoosa
AL,1,63,1,125,Tuscaloosa
AL,1,64,1,127,Walker
AL,1,65,1,129,Washington
AL,1,66,1,131,Wilcox
AL,1,67,1,133,Winston
AK,50,0,2,13,Aleutians East
AK,50,0,2,16,Aleutians West
AK,50,0,2,20,Anchorage
AK,50,0,2,50,Bethel
AK,50,0,2,60,Bristol Bay
AK,50,0,2,70,Dillingham
AK,50,0,2,90,Fairbanks North Star
AK,50,0,2,100,Haines
AK,50,0,2,110,Juneau
AK,50,0,2,122,Kenai Peninsula
AK,50,0,2,130,Ketchikan Gateway
AK,50,0,2,150,Kodiak Island
AK,50,0,2,164,Lake and Peninsula
AK,50,0,2,170,Matanuska-Susitna
AK,50,0,2,180,Nome
AK,50,0,2,185,North Slope
AK,50,0,2,188,Northwest Arctic
AK,50,0,2,201,Prince of Wales-Outer Ketchikan
AK,50,0,2,220,Sitka
AK,50,0,2,232,Skagway-Hoonah-Angoon
AK,50,0,2,240,Southeast Fairbanks
AK,50,0,2,261,Valdez-Cordova
AK,50,0,2,270,Wade Hampton
AK,50,0,2,280,Wrangell-Petersburg
AK,50,0,2,282,Yakutat
AK,50,0,2,290,Yukon-Koyukuk
AZ,2,1,4,1,Apache
AZ,2,2,4,3,Cochise
AZ,2,3,4,5,Coconino
AZ,2,4,4,7,Gila
AZ,2,5,4,9,Graham
AZ,2,6,4,11,Greenlee
AZ,2,15,4,12,La Paz
AZ,2,7,4,13,Maricopa
AZ,2,8,4,15,Mohave
AZ,2,9,4,17,Navajo
AZ,2,10,4,19,Pima
AZ,2,11,4,21,Pinal
AZ,2,12,4,23,Santa Cruz
AZ,2,13,4,25,Yavapai
AZ,2,14,4,27,Yuma
AR,3,1,5,1,Arkansas
AR,3,2,5,3,Ashley
AR,3,3,5,5,Baxter
AR,3,4,5,7,Benton
AR,3,5,5,9,Boone
AR,3,6,5,11,Bradley
AR,3,7,5,13,Calhoun
AR,3,8,5,15,Carroll
AR,3,9,5,17,Chicot
AR,3,10,5,19,Clark
AR,3,11,5,21,Clay
AR,3,12,5,23,Cleburne
AR,3,13,5,25,Cleveland
AR,3,14,5,27,Columbia
AR,3,15,5,29,Conway
AR,3,16,5,31,Craighead
AR,3,17,5,33,Crawford
AR,3,18,5,35,Crittenden
AR,3,19,5,37,Cross
AR,3,20,5,39,Dallas
AR,3,21,5,41,Desha
AR,3,22,5,43,Drew
AR,3,23,5,45,Faulkner
AR,3,24,5,47,Franklin
AR,3,25,5,49,Fulton
AR,3,26,5,51,Garland
AR,3,27,5,53,Grant
AR,3,28,5,55,Greene
AR,3,29,5,57,Hempstead
AR,3,30,5,59,Hot Spring
AR,3,31,5,61,Howard
AR,3,32,5,63,Independence
AR,3,33,5,65,Izard
AR,3,34,5,67,Jackson
AR,3,35,5,69,Jefferson
AR,3,36,5,71,Johnson
AR,3,37,5,73,Lafayette
AR,3,38,5,75,Lawrence
AR,3,39,5,77,Lee
AR,3,40,5,79,Lincoln
AR,3,41,5,81,Little River
AR,3,42,5,83,Logan
AR,3,43,5,85,Lonoke
AR,3,44,5,87,Madison
AR,3,45,5,89,Marion
AR,3,46,5,91,Miller
AR,3,47,5,93,Mississippi
AR,3,48,5,95,Monroe
AR,3,49,5,97,Montgomery
AR,3,50,5,99,Nevada
AR,3,51,5,101,Newton
AR,3,52,5,103,Ouachita
AR,3,53,5,105,Perry
AR,3,54,5,107,Phillips
AR,3,55,5,109,Pike
AR,3,56,5,111,Poinsett
AR,3,57,5,113,Polk
AR,3,58,5,115,Pope
AR,3,59,5,117,Prairie
AR,3,60,5,119,Pulaski
AR,3,61,5,121,Randolph
AR,3,62,5,123,St Francis
AR,3,63,5,125,Saline
AR,3,64,5,127,Scott
AR,3,65,5,129,Searcy
AR,3,66,5,131,Sebastian
AR,3,67,5,133,Sevier
AR,3,68,5,135,Sharp
AR,3,69,5,137,Stone
AR,3,70,5,139,Union
AR,3,71,5,141,Van Buren
AR,3,72,5,143,Washington
AR,3,73,5,145,White
AR,3,74,5,147,Woodruff
AR,3,75,5,149,Yell
CA,4,1,6,1,Alameda
CA,4,2,6,3,Alpine
CA,4,3,6,5,Amador
CA,4,4,6,7,Butte
CA,4,5,6,9,Calaveras
CA,4,6,6,11,Colusa
CA,4,7,6,13,Contra Costa
CA,4,8,6,15,Del Norte
CA,4,9,6,17,El Dorado
CA,4,10,6,19,Fresno
CA,4,11,6,21,Glenn
CA,4,12,6,23,Humboldt
CA,4,13,6,25,Imperial
CA,4,14,6,27,Inyo
CA,4,15,6,29,Kern
CA,4,16,6,31,Kings
CA,4,17,6,33,Lake
CA,4,18,6,35,Lassen
CA,4,19,6,37,Los Angeles
CA,4,20,6,39,Madera
CA,4,21,6,41,Marin
CA,4,22,6,43,Mariposa
CA,4,23,6,45,Mendocino
CA,4,24,6,47,Merced
CA,4,25,6,49,Modoc
CA,4,26,6,51,Mono
CA,4,27,6,53,Monterey
CA,4,28,6,55,Napa
CA,4,29,6,57,Nevada
CA,4,30,6,59,Orange
CA,4,31,6,61,Placer
CA,4,32,6,63,Plumas
CA,4,33,6,65,Riverside
CA,4,34,6,67,Sacramento
CA,4,35,6,69,San Benito
CA,4,36,6,71,San Bernardino
CA,4,37,6,73,San Diego
CA,4,38,6,75,San Francisco
CA,4,39,6,77,San Joaquin
CA,4,40,6,79,San Luis Obispo
CA,4,41,6,81,San Mateo
CA,4,42,6,83,Santa Barbara
CA,4,43,6,85,Santa Clara
CA,4,44,6,87,Santa Cruz
CA,4,45,6,89,Shasta
CA,4,46,6,91,Sierra
CA,4,47,6,93,Siskiyou
CA,4,48,6,95,Solano
CA,4,49,6,97,Sonoma
CA,4,50,6,99,Stanislaus
CA,4,51,6,101,Sutter
CA,4,52,6,103,Tehama
CA,4,53,6,105,Trinity
CA,4,54,6,107,Tulare
CA,4,55,6,109,Tuolumne
CA,4,56,6,111,Ventura
CA,4,57,6,113,Yolo
CA,4,58,6,115,Yuba
CO,5,1,8,1,Adams
CO,5,2,8,3,Alamosa
CO,5,3,8,5,Arapahoe
CO,5,4,8,7,Archuleta
CO,5,5,8,9,Baca
CO,5,6,8,11,Bent
CO,5,7,8,13,Boulder
CO,5,8,8,15,Chaffee
CO,5,9,8,17,Cheyenne
CO,5,10,8,19,Clear Creek
CO,5,11,8,21,Conejos
CO,5,12,8,23,Costilla
CO,5,13,8,25,Crowley
CO,5,14,8,27,Custer
CO,5,15,8,29,Delta
CO,5,16,8,31,Denver
CO,5,17,8,33,Dolores
CO,5,18,8,35,Douglas
CO,5,19,8,37,Eagle
CO,5,20,8,39,Elbert
CO,5,21,8,41,El Paso
CO,5,22,8,43,Fremont
CO,5,23,8,45,Garfield
CO,5,24,8,47,Gilpin
CO,5,25,8,49,Grand
CO,5,26,8,51,Gunnison
CO,5,27,8,53,Hinsdale
CO,5,28,8,55,Huerfano
CO,5,29,8,57,Jackson
CO,5,30,8,59,Jefferson
CO,5,31,8,61,Kiowa
CO,5,32,8,63,Kit Carson
CO,5,33,8,65,Lake
CO,5,34,8,67,La Plata
CO,5,35,8,69,Larimer
CO,5,36,8,71,Las Animas
CO,5,37,8,73,Lincoln
CO,5,38,8,75,Logan
CO,5,39,8,77,Mesa
CO,5,40,8,79,Mineral
CO,5,41,8,81,Moffat
CO,5,42,8,83,Montezuma
CO,5,43,8,85,Montrose
CO,5,44,8,87,Morgan
CO,5,45,8,89,Otero
CO,5,46,8,91,Ouray
CO,5,47,8,93,Park
CO,5,48,8,95,Phillips
CO,5,49,8,97,Pitkin
CO,5,50,8,99,Prowers
CO,5,51,8,101,Pueblo
CO,5,52,8,103,Rio Blanco
CO,5,53,8,105,Rio Grande
CO,5,54,8,107,Routt
CO,5,55,8,109,Saguache
CO,5,56,8,111,San Juan
CO,5,57,8,113,San Miguel
CO,5,58,8,115,Sedgwick
CO,5,59,8,117,Summit
CO,5,60,8,119,Teller
CO,5,61,8,121,Washington
CO,5,62,8,123,Weld
CO,5,63,8,125,Yuma
CT,6,1,9,1,Fairfield
CT,6,2,9,3,Hartford
CT,6,3,9,5,Litchfield
CT,6,4,9,7,Middlesex
CT,6,5,9,9,New Haven
CT,6,6,9,11,New London
CT,6,7,9,13,Tolland
CT,6,8,9,15,Windham
DE,7,1,10,1,Kent
DE,7,2,10,3,New Castle
DE,7,3,10,5,Sussex
DC,8,0,11,1,District of Columbia
FL,9,1,12,1,Alachua
FL,9,2,12,3,Baker
FL,9,3,12,5,Bay
FL,9,4,12,7,Bradford
FL,9,5,12,9,Brevard
FL,9,6,12,11,Broward
FL,9,7,12,13,Calhoun
FL,9,8,12,15,Charlotte
FL,9,9,12,17,Citrus
FL,9,10,12,19,Clay
FL,9,11,12,21,Collier
FL,9,12,12,23,Columbia
FL,9,13,12,25,Dade
FL,9,14,12,27,De Soto
FL,9,15,12,29,Dixie
FL,9,16,12,31,Duval
FL,9,17,12,33,Escambia
FL,9,18,12,35,Flagler
FL,9,19,12,37,Franklin
FL,9,20,12,39,Gadsden
FL,9,21,12,41,Gilchrist
FL,9,22,12,43,Glades
FL,9,23,12,45,Gulf
FL,9,24,12,47,Hamilton
FL,9,25,12,49,Hardee
FL,9,26,12,51,Hendry
FL,9,27,12,53,Hernando
FL,9,28,12,55,Highlands
FL,9,29,12,57,Hillsborough
FL,9,30,12,59,Holmes
FL,9,31,12,61,Indian River
FL,9,32,12,63,Jackson
FL,9,33,12,65,Jefferson
FL,9,34,12,67,Lafayette
FL,9,35,12,69,Lake
FL,9,36,12,71,Lee
FL,9,37,12,73,Leon
FL,9,38,12,75,Levy
FL,9,39,12,77,Liberty
FL,9,40,12,79,Madison
FL,9,41,12,81,Manatee
FL,9,42,12,83,Marion
FL,9,43,12,85,Martin
FL,9,44,12,87,Monroe
FL,9,45,12,89,Nassau
FL,9,46,12,91,Okaloosa
FL,9,47,12,93,Okeechobee
FL,9,48,12,95,Orange
FL,9,49,12,97,Osceola
FL,9,50,12,99,Palm Beach
FL,9,51,12,101,Pasco
FL,9,52,12,103,Pinellas
FL,9,53,12,105,Polk
FL,9,54,12,107,Putnam
FL,9,55,12,109,St Johns
FL,9,56,12,111,St Lucie
FL,9,57,12,113,Santa Rosa
FL,9,58,12,115,Sarasota
FL,9,59,12,117,Seminole
FL,9,60,12,119,Sumter
FL,9,61,12,121,Suwannee
FL,9,62,12,123,Taylor
FL,9,63,12,125,Union
FL,9,64,12,127,Volusia
FL,9,65,12,129,Wakulla
FL,9,66,12,131,Walton
FL,9,67,12,133,Washington
GA,10,1,13,1,Appling
GA,10,2,13,3,Atkinson
GA,10,3,13,5,Bacon
GA,10,4,13,7,Baker
GA,10,5,13,9,Baldwin
GA,10,6,13,11,Banks
GA,10,7,13,13,Barrow
GA,10,8,13,15,Bartow
GA,10,9,13,17,Ben Hill
GA,10,10,13,19,Berrien
GA,10,11,13,21,Bibb
GA,10,12,13,23,Bleckley
GA,10,13,13,25,Brantley
GA,10,14,13,27,Brooks
GA,10,15,13,29,Bryan
GA,10,16,13,31,Bulloch
GA,10,17,13,33,Burke
GA,10,18,13,35,Butts
GA,10,19,13,37,Calhoun
GA,10,20,13,39,Camden
GA,10,21,13,43,Candler
GA,10,22,13,45,Carroll
GA,10,23,13,47,Catoosa
GA,10,24,13,49,Charlton
GA,10,25,13,51,Chatham
GA,10,26,13,53,Chattahoochee
GA,10,27,13,55,Chattooga
GA,10,28,13,57,Cherokee
GA,10,29,13,59,Clarke
GA,10,30,13,61,Clay
GA,10,31,13,63,Clayton
GA,10,32,13,65,Clinch
GA,10,33,13,67,Cobb
GA,10,34,13,69,Coffee
GA,10,35,13,71,Colquitt
GA,10,36,13,73,Columbia
GA,10,37,13,75,Cook
GA,10,38,13,77,Coweta
GA,10,39,13,79,Crawford
GA,10,40,13,81,Crisp
GA,10,41,13,83,Dade
GA,10,42,13,85,Dawson
GA,10,43,13,87,Decatur
GA,10,44,13,89,De Kalb
GA,10,45,13,91,Dodge
GA,10,46,13,93,Dooly
GA,10,47,13,95,Dougherty
GA,10,48,13,97,Douglas
GA,10,49,13,99,Early
GA,10,50,13,101,Echols
GA,10,51,13,103,Effingham
GA,10,52,13,105,Elbert
GA,10,53,13,107,Emanuel
GA,10,54,13,109,Evans
GA,10,55,13,111,Fannin
GA,10,56,13,113,Fayette
GA,10,57,13,115,Floyd
GA,10,58,13,117,Forsyth
GA,10,59,13,119,Franklin
GA,10,60,13,121,Fulton
GA,10,61,13,123,Gilmer
GA,10,62,13,125,Glascock
GA,10,63,13,127,Glynn
GA,10,64,13,129,Gordon
GA,10,65,13,131,Grady
GA,10,66,13,133,Greene
GA,10,67,13,135,Gwinnett
GA,10,68,13,137,Habersham
GA,10,69,13,139,Hall
GA,10,70,13,141,Hancock
GA,10,71,13,143,Haralson
GA,10,72,13,145,Harris
GA,10,73,13,147,Hart
GA,10,74,13,149,Heard
GA,10,75,13,151,Henry
GA,10,76,13,153,Houston
GA,10,77,13,155,Irwin
GA,10,78,13,157,Jackson
GA,10,79,13,159,Jasper
GA,10,80,13,161,Jeff Davis
GA,10,81,13,163,Jefferson
GA,10,82,13,165,Jenkins
GA,10,83,13,167,Johnson
GA,10,84,13,169,Jones
GA,10,85,13,171,Lamar
GA,10,86,13,173,Lanier
GA,10,87,13,175,Laurens
GA,10,88,13,177,Lee
GA,10,89,13,179,Liberty
GA,10,90,13,181,Lincoln
GA,10,91,13,183,Long
GA,10,92,13,185,Lowndes
GA,10,93,13,187,Lumpkin
GA,10,94,13,189,McDuffie
GA,10,95,13,191,McIntosh
GA,10,96,13,193,Macon
GA,10,97,13,195,Madison
GA,10,98,13,197,Marion
GA,10,99,13,199,Meriwether
GA,10,100,13,201,Miller
GA,10,101,13,205,Mitchell
GA,10,102,13,207,Monroe
GA,10,103,13,209,Montgomery
GA,10,104,13,211,Morgan
GA,10,105,13,213,Murray
GA,10,106,13,215,Muscogee
GA,10,107,13,217,Newton
GA,10,108,13,219,Oconee
GA,10,109,13,221,Oglethorpe
GA,10,110,13,223,Paulding
GA,10,111,13,225,Peach
GA,10,112,13,227,Pickens
GA,10,113,13,229,Pierce
GA,10,114,13,231,Pike
GA,10,115,13,233,Polk
