group,groupLabel,variable,variableLabel,variablePage
VG1F1,STATE AND AGENCY DESCRIPTORS,V1,ID CODE,53
VG1F1,STATE AND AGENCY DESCRIPTORS,V2,NUMERIC STATE CODE,53
VG1F1,STATE AND AGENCY DESCRIPTORS,V3,ORI CODE,55
VG1F1,STATE AND AGENCY DESCRIPTORS,V4,GROUP NUMBER,55
VG1F1,STATE AND AGENCY DESCRIPTORS,V5,DIVISION,55
VG1F1,STATE AND AGENCY DESCRIPTORS,V6,YEAR,56
VG1F1,STATE AND AGENCY DESCRIPTORS,V7,CITY SEQUENCE NUMBER,56
VG1F1,STATE AND AGENCY DESCRIPTORS,V8,CORE CITY INDICATION,56
VG1F1,STATE AND AGENCY DESCRIPTORS,V9,COVERED BY CODE,56
VG1F1,STATE AND AGENCY DESCRIPTORS,V10,LAST UPDATE,56
VG1F1,STATE AND AGENCY DESCRIPTORS,V11,FIELD OFFICE,57
VG1F1,STATE AND AGENCY DESCRIPTORS,V12,NUMBER OF MONTHS REPORTED,57
VG1F1,STATE AND AGENCY DESCRIPTORS,V13,AGENCY COUNT,57
VG1F1,STATE AND AGENCY DESCRIPTORS,V14,POPULATION 1,57
VG1F1,STATE AND AGENCY DESCRIPTORS,V15,COUNTY 1,58
VG1F1,STATE AND AGENCY DESCRIPTORS,V16,MSA 1,58
VG1F1,STATE AND AGENCY DESCRIPTORS,V17,POPULATION 2,58
VG1F1,STATE AND AGENCY DESCRIPTORS,V18,COUNTY 2,58
VG1F1,STATE AND AGENCY DESCRIPTORS,V19,MSA 2,58
VG1F1,STATE AND AGENCY DESCRIPTORS,V20,POPULATION 3,59
VG1F1,STATE AND AGENCY DESCRIPTORS,V21,COUNTY 3,59
VG1F1,STATE AND AGENCY DESCRIPTORS,V22,MSA 3,59
VG1F1,STATE AND AGENCY DESCRIPTORS,V23,FOLLOW-UP INDICATION,59
VG1F1,STATE AND AGENCY DESCRIPTORS,V24,SPECIAL MAILING GROUP,59
VG1F1,STATE AND AGENCY DESCRIPTORS,V25,SPECIAL MAILING ADDRESS,59
VG1F1,STATE AND AGENCY DESCRIPTORS,V26,AGENCY NAME,60
VG1F1,STATE AND AGENCY DESCRIPTORS,V27,AGENCY STATE NAME,60
VG1F1,STATE AND AGENCY DESCRIPTORS,V28,MAILING ADDRESS-LINE 1,60
VG1F1,STATE AND AGENCY DESCRIPTORS,V29,MAILING ADDRESS-LINE 2,60
VG1F1,STATE AND AGENCY DESCRIPTORS,V30,MAILING ADDRESS-LINE 3,60
VG1F1,STATE AND AGENCY DESCRIPTORS,V31,MAILING ADDRESS-LINE 4,60
VG1F1,STATE AND AGENCY DESCRIPTORS,V32,ZIP CODE,60
VG2F1,JANUARY: ACCOUNTING VARIABLES,V33,JAN: MONTH INCLUDED IN,60
VG2F1,JANUARY: ACCOUNTING VARIABLES,V34,JAN: LAST UPDATE,61
VG2F1,JANUARY: ACCOUNTING VARIABLES,V35,JAN: CARD 0 TYPE,61
VG2F1,JANUARY: ACCOUNTING VARIABLES,V36,JAN: CARD 1 TYPE,61
VG2F1,JANUARY: ACCOUNTING VARIABLES,V37,JAN: CARD 2 TYPE,62
VG2F1,JANUARY: ACCOUNTING VARIABLES,V38,JAN: CARD 3 TYPE,62
VG2F1,JANUARY: ACCOUNTING VARIABLES,V39,JAN: CARD 4 TYPE,62
VG2F1,JANUARY: ACCOUNTING VARIABLES,V40,JAN: CARD 0 P/T,62
VG2F1,JANUARY: ACCOUNTING VARIABLES,V41,JAN: CARD 1 P/T,63
VG2F1,JANUARY: ACCOUNTING VARIABLES,V42,JAN: CARD 2 P/T,63
VG2F1,JANUARY: ACCOUNTING VARIABLES,V43,JAN: CARD 3 P/T,63
VG3F1,JANUARY: NUMBER OF UNFOUNDED OFFENSES,V44,JAN: UNFOUNDED MURDER,63
VG3F1,JANUARY: NUMBER OF UNFOUNDED OFFENSES,V45,JAN: UNFOUNDED MANSLGHTR,64
VG3F1,JANUARY: NUMBER OF UNFOUNDED OFFENSES,V46,JAN: UNFOUNDED RAPE TOTL,64
VG3F1,JANUARY: NUMBER OF UNFOUNDED OFFENSES,V47,JAN: UNFOUNDED FORC RAPE,64
VG3F1,JANUARY: NUMBER OF UNFOUNDED OFFENSES,V48,JAN: UNFOUND ATMPTD RAPE,64
VG3F1,JANUARY: NUMBER OF UNFOUNDED OFFENSES,V49,JAN: UNFOUND ROBBRY TOTL,64
VG3F1,JANUARY: NUMBER OF UNFOUNDED OFFENSES,V50,JAN: UNFOUND GUN ROBBERY,65
VG3F1,JANUARY: NUMBER OF UNFOUNDED OFFENSES,V51,JAN: UNFOUNDED KNIFE ROB,65
VG3F1,JANUARY: NUMBER OF UNFOUNDED OFFENSES,V52,JAN: UNFND OTHR WEAP ROB,65
VG3F1,JANUARY: NUMBER OF UNFOUNDED OFFENSES,V53,JAN: UNFND STRNG-ARM ROB,65
VG3F1,JANUARY: NUMBER OF UNFOUNDED OFFENSES,V54,JAN: UNFOUND ASSLT TOTAL,65
VG3F1,JANUARY: NUMBER OF UNFOUNDED OFFENSES,V55,JAN: UNFOUND GUN ASSLT,66
VG3F1,JANUARY: NUMBER OF UNFOUNDED OFFENSES,V56,JAN: UNFOUND KNIFE ASSLT,66
VG3F1,JANUARY: NUMBER OF UNFOUNDED OFFENSES,V57,JAN: UNFND OTH WPN ASLT,66
VG3F1,JANUARY: NUMBER OF UNFOUNDED OFFENSES,V58,JAN: UNFND HND/FEET ASLT,66
VG3F1,JANUARY: NUMBER OF UNFOUNDED OFFENSES,V59,JAN: UNFND SIMPL ASSAULT,66
VG3F1,JANUARY: NUMBER OF UNFOUNDED OFFENSES,V60,JAN: UNFOUND BURG TOTAL,67
VG3F1,JANUARY: NUMBER OF UNFOUNDED OFFENSES,V61,JAN: UNFOUND FORCE ENTRY,67
VG3F1,JANUARY: NUMBER OF UNFOUNDED OFFENSES,V62,JAN: UNFND ENTRY-NO FORC,67
VG3F1,JANUARY: NUMBER OF UNFOUNDED OFFENSES,V63,JAN: UNFND ATT BURGLARY,67
VG3F1,JANUARY: NUMBER OF UNFOUNDED OFFENSES,V64,JAN: UNFOUND LARCNY TOTL,67
VG3F1,JANUARY: NUMBER OF UNFOUNDED OFFENSES,V65,JAN: UF TOT MTR VHC THFT,68
VG3F1,JANUARY: NUMBER OF UNFOUNDED OFFENSES,V66,JAN: UNFOUND AUTO THEFT,68
VG3F1,JANUARY: NUMBER OF UNFOUNDED OFFENSES,V67,JAN: UF TRUCK/BUS THEFT,68
VG3F1,JANUARY: NUMBER OF UNFOUNDED OFFENSES,V68,JAN: UNFND OTH VHC THEFT,68
VG3F1,JANUARY: NUMBER OF UNFOUNDED OFFENSES,V69,JAN: UNFOUND ALL FIELDS,68
VG4F1,JANUARY: NUMBER OF ACTUAL OFFENSES,V70,JAN: ACT NUM MURDER,69
VG4F1,JANUARY: NUMBER OF ACTUAL OFFENSES,V71,JAN: ACT NUM MANSLGHTR,69
