"orig","new"
"ORI7","ori"
"GROUP NUMBER","pop.group"
"YEAR","year"
"COVERED BY CODE","covered.by"
"POPULATION 1","juris1"
"COUNTY 1","county1"
"POPULATION 2","juris2"
"COUNTY 2","county2"
"POPULATION 3","juris3"
"COUNTY 3","county3"
"AGENCY NAME","agency"
"FCOUNTY","fcounty"
"FPLACE","fplace"
"FIPS_ST","fstate"
"STATENAME","state.name"
"COUNTYNAME","county.name"
"AGCYTYPE","type"
"SUBTYPE1","subtype1"
"SUBTYPE2","subtype2"
"U_TPOP","juris.pop"
"LG_POPULATION","census.pop"
"tot_card1","arson_tot_card1"
"clr_card1","arson_clr_card1"
"tot_card2","arson_tot_card2"
"clr_card2","arson_clr_card2"
"tot_card3","arson_tot_card3"
"clr_card3","arson_clr_card3"
"tot_card4","arson_tot_card4"
"clr_card4","arson_clr_card4"
"tot_card5","arson_tot_card5"
"clr_card5","arson_clr_card5"
"tot_card6","arson_tot_card6"
"clr_card6","arson_clr_card6"
"tot_card7","arson_tot_card7"
"clr_card7","arson_clr_card7"
"tot_card8","arson_tot_card8"
"clr_card8","arson_clr_card8"
"tot_card9","arson_tot_card9"
"clr_card9","arson_clr_card9"
"tot_card10","arson_tot_card10"
"clr_card10","arson_clr_card10"
"tot_card11","arson_tot_card11"
"clr_card11","arson_clr_card11"
"tot_card12","arson_tot_card12"
"clr_card12","arson_clr_card12"
"type.local","type.local"
"type.sheriff","type.sheriff"
"type.state","type.state"
"type.marshal","type.marshal"
"type.facilities","type.facilities"
"type.parks","type.parks"
"type.transportation","type.transportation"
"type.criminal","type.criminal"
"type.special","type.special"
"JAN: CARD 1 P/T","other_tot_card1"
"FEB: CARD 1 P/T","other_tot_card2"
"MAR: CARD 1 P/T","other_tot_card3"
"APR: CARD 1 P/T","other_tot_card4"
"MAY: CARD 1 P/T","other_tot_card5"
"JUN: CARD 1 P/T","other_tot_card6"
"JUL: CARD 1 P/T","other_tot_card7"
"AUG: CARD 1 P/T","other_tot_card8"
"SEP: CARD 1 P/T","other_tot_card9"
"OCT: CARD 1 P/T","other_tot_card10"
"NOV: CARD 1 P/T","other_tot_card11"
"DEC: CARD 1 P/T","other_tot_card12"
"JAN: CARD 2 P/T","other_clr_card1"
"FEB: CARD 2 P/T","other_clr_card2"
"MAR: CARD 2 P/T","other_clr_card3"
"APR: CARD 2 P/T","other_clr_card4"
"MAY: CARD 2 P/T","other_clr_card5"
"JUN: CARD 2 P/T","other_clr_card6"
"JUL: CARD 2 P/T","other_clr_card7"
"AUG: CARD 2 P/T","other_clr_card8"
"SEP: CARD 2 P/T","other_clr_card9"
"OCT: CARD 2 P/T","other_clr_card10"
"NOV: CARD 2 P/T","other_clr_card11"
"DEC: CARD 2 P/T","other_clr_card12"
"JAN: ACT NUM MURDER","murd.tot1"
"FEB: ACT NUM MURDER","murd.tot2"
"MAR: ACT NUM MURDER","murd.tot3"
"APR: ACT NUM MURDER","murd.tot4"
"MAY: ACT NUM MURDER","murd.tot5"
"JUN: ACT NUM MURDER","murd.tot6"
"JUL: ACT NUM MURDER","murd.tot7"
"AUG: ACT NUM MURDER","murd.tot8"
"SEP: ACT NUM MURDER","murd.tot9"
"OCT: ACT NUM MURDER","murd.tot10"
"NOV: ACT NUM MURDER","murd.tot11"
"DEC: ACT NUM MURDER","murd.tot12"
"JAN: ACT NUM MANSLGHTR","mans.tot1"
"FEB: ACT NUM MANSLGHTR","mans.tot2"
"MAR: ACT NUM MANSLGHTR","mans.tot3"
"APR: ACT NUM MANSLGHTR","mans.tot4"
"MAY: ACT NUM MANSLGHTR","mans.tot5"
"JUN: ACT NUM MANSLGHTR","mans.tot6"
"JUL: ACT NUM MANSLGHTR","mans.tot7"
"AUG: ACT NUM MANSLGHTR","mans.tot8"
"SEP: ACT NUM MANSLGHTR","mans.tot9"
"OCT: ACT NUM MANSLGHTR","mans.tot10"
"NOV: ACT NUM MANSLGHTR","mans.tot11"
"DEC: ACT NUM MANSLGHTR","mans.tot12"
"JAN: ACT NUM RAPE TOTL","rape.tot1"
"FEB: ACT NUM RAPE TOTL","rape.tot2"
"MAR: ACT NUM RAPE TOTL","rape.tot3"
"APR: ACT NUM RAPE TOTL","rape.tot4"
"MAY: ACT NUM RAPE TOTL","rape.tot5"
"JUN: ACT NUM RAPE TOTL","rape.tot6"
"JUL: ACT NUM RAPE TOTL","rape.tot7"
"AUG: ACT NUM RAPE TOTL","rape.tot8"
"SEP: ACT NUM RAPE TOTL","rape.tot9"
"OCT: ACT NUM RAPE TOTL","rape.tot10"
"NOV: ACT NUM RAPE TOTL","rape.tot11"
"DEC: ACT NUM RAPE TOTL","rape.tot12"
"JAN: ACT NUM ROBBRY TOTL","robb.tot1"
"FEB: ACT NUM ROBBRY TOTL","robb.tot2"
"MAR: ACT NUM ROBBRY TOTL","robb.tot3"
"APR: ACT NUM ROBBRY TOTL","robb.tot4"
"MAY: ACT NUM ROBBRY TOTL","robb.tot5"
"JUN: ACT NUM ROBBRY TOTL","robb.tot6"
"JUL: ACT NUM ROBBRY TOTL","robb.tot7"
"AUG: ACT NUM ROBBRY TOTL","robb.tot8"
"SEP: ACT NUM ROBBRY TOT","robb.tot9"
"OCT: ACT NUM ROBBRY TOT","robb.tot10"
"NOV: ACT NUM ROBBRY TOT","robb.tot11"
"DEC: ACT NUM ROBBRY TOT","robb.tot12"
"JAN: ACT NUM ASSLT TOTAL","assa.tot1"
"FEB: ACT NUM ASSLT TOTAL","assa.tot2"
"MAR: ACT NUM ASSLT TOTAL","assa.tot3"
"APR: ACT NUM ASSLT TOTAL","assa.tot4"
"MAY: ACT NUM ASSLT TOTAL","assa.tot5"
"JUN: ACT NUM ASSLT TOTAL","assa.tot6"
"JUL: ACT NUM ASSLT TOTAL","assa.tot7"
"AUG: ACT NUM ASSLT TOTAL","assa.tot8"
"SEP: ACT NUM ASSLT TOTA","assa.tot9"
"OCT: ACT NUM ASSLT TOTA","assa.tot10"
"NOV: ACT NUM ASSLT TOTA","assa.tot11"
"DEC: ACT NUM ASSLT TOTA","assa.tot12"
"JAN: ACT # SIMPLE ASSLT","simp.tot1"
"FEB: ACT # SIMPLE ASSLT","simp.tot2"
"MAR: ACT # SIMPLE ASSLT","simp.tot3"
"APR: ACT # SIMPLE ASSLT","simp.tot4"
"MAY: ACT # SIMPLE ASSLT","simp.tot5"
"JUN: ACT # SIMPLE ASSLT","simp.tot6"
"JUL: ACT # SIMPLE ASSLT","simp.tot7"
"AUG: ACT # SIMPLE ASSLT","simp.tot8"
"SEP: ACT # SIMPLE ASSLT","simp.tot9"
"OCT: ACT # SIMPLE ASSLT","simp.tot10"
"NOV: ACT # SIMPLE ASSLT","simp.tot11"
"DEC: ACT # SIMPLE ASSLT","simp.tot12"
"JAN: ACT # BURGLARY TOTL","burg.tot1"
"FEB: ACT # BURGLARY TOTL","burg.tot2"
